"film","director","actor"
"http://dbpedia.org/resource/Changu_Mangu","http://dbpedia.org/resource/Bipin_Varti","http://dbpedia.org/resource/Laxmikant_Berde"
"http://dbpedia.org/resource/Changu_Mangu","http://dbpedia.org/resource/Bipin_Varti","http://dbpedia.org/resource/Nivedita_Saraf"
"http://dbpedia.org/resource/Changu_Mangu","http://dbpedia.org/resource/Bipin_Varti","http://dbpedia.org/resource/Kishori_Shahane"
"http://dbpedia.org/resource/Changu_Mangu","http://dbpedia.org/resource/Bipin_Varti","http://dbpedia.org/resource/Aruna_Irani"
"http://dbpedia.org/resource/Changu_Mangu","http://dbpedia.org/resource/Bipin_Varti","http://dbpedia.org/resource/Raja_Gosavi"
"http://dbpedia.org/resource/Changu_Mangu","http://dbpedia.org/resource/Bipin_Varti","http://dbpedia.org/resource/Ashok_Saraf"
"http://dbpedia.org/resource/Changu_Mangu","http://dbpedia.org/resource/Bipin_Varti","http://dbpedia.org/resource/Nayantara_(Marathi_actress)"
"http://dbpedia.org/resource/Changu_Mangu","http://dbpedia.org/resource/Bipin_Varti","http://dbpedia.org/resource/Sudhir_Joshi"
"http://dbpedia.org/resource/Changu_Mangu","http://dbpedia.org/resource/Bipin_Varti","http://dbpedia.org/resource/Viju_Khote"
"http://dbpedia.org/resource/Chathuram","http://dbpedia.org/resource/Sidharth_Bharathan","http://dbpedia.org/resource/Swasika"
"http://dbpedia.org/resource/Chathuram","http://dbpedia.org/resource/Sidharth_Bharathan","http://dbpedia.org/resource/Roshan_Mathew"
"http://dbpedia.org/resource/Chathuram","http://dbpedia.org/resource/Sidharth_Bharathan","http://dbpedia.org/resource/Alencier_Ley_Lopez"
"http://dbpedia.org/resource/Chathuram","http://dbpedia.org/resource/Sidharth_Bharathan","http://dbpedia.org/resource/Jaffar_Idukki"
"http://dbpedia.org/resource/Chief_of_Station_(film)","http://dbpedia.org/resource/Jesse_V._Johnson","http://dbpedia.org/resource/Olga_Kurylenko"
"http://dbpedia.org/resource/Chief_of_Station_(film)","http://dbpedia.org/resource/Jesse_V._Johnson","http://dbpedia.org/resource/Nick_Moran"
"http://dbpedia.org/resource/Chief_of_Station_(film)","http://dbpedia.org/resource/Jesse_V._Johnson","http://dbpedia.org/resource/Aaron_Eckhart"
"http://dbpedia.org/resource/Chief_of_Station_(film)","http://dbpedia.org/resource/Jesse_V._Johnson","http://dbpedia.org/resource/Daniel_Bernhardt"
"http://dbpedia.org/resource/Chief_of_Station_(film)","http://dbpedia.org/resource/Jesse_V._Johnson","http://dbpedia.org/resource/James_Faulkner_(actor)"
